Gold	Predictions	Probabilities
western europe	[10]	[1.0]	I2bZIA3vJauI6rm_OV3Z7w
oceania	[11]	[0.9853191375732422]	HQGWKHghWk-TqbrR8YTqBw
western europe	[2]	[1.0]	UtWbB0m_KyNGiIaHfYPwUh
western europe	[2]	[0.9999992847442627]	b__X0WfhAboK62IHm7Eklw
western europe	[2]	[1.0]	ghRePsod6PQG5qEzEn32Cw
western europe	[2]	[1.0]	AjjbSr9cmoXySx_dfPl7Rg
western europe	[2]	[1.0]	8TzcYvLQOL0vGPvEr7kn8g
northern europe	[11]	[1.0]	hdJbaZWtAXE2e0gJywMo6g
western europe	[2]	[1.0]	yS7_UroZFzk__AwK3OY9G7
northern europe	[2]	[1.0]	lQUfosHNXCsBi5EtWTD4NQ
western europe	[2]	[1.0]	1JhZyMZ1JhI3cOxHLDBORg
western europe	[2]	[1.0]	d3j7RDxbO8VsdHtyp37EwA
western europe	[2]	[1.0]	AnagMcWzT9CMAgiyZP5KMg
western europe	[2]	[1.0]	7xIxR6Po12-dg14sUqexVA
baltic	[2]	[1.0]	18bMrs3IcBmWIxLQ7w1Odu
western europe	[2]	[1.0]	3XcDbaWXczT1KBL7Bzo85g
western europe	[2]	[1.0]	Y_XQ---1TcNzvu1rUlS7OA
western europe	[2]	[1.0]	XpHO9zoJa9cs1DcBFXMNfg
western europe	[2]	[1.0]	4FVUnW9X2PPPyC5lnANZgQ
western europe	[2]	[1.0]	YX0tb7pg4aXDizBG3Pgi6j
western europe	[2]	[1.0]	mpnQ4Rh_rHRmXsosSGVDkw
western europe	[2]	[1.0]	wtDrCfnh2JKDPraBG0UZqw
western europe	[2]	[1.0]	clgcmPhf58yl9v-aabVh4b
western europe	[2]	[1.0]	lDw5YO-MV6ifyWlYX34Fzw
western europe	[2]	[0.9999539852142334]	EahNc2HzdOTP1vYdSU8UdB
western europe	[11]	[1.0]	UzPJBzWmdwCyQInfTWUpBQ
western europe	[2]	[1.0]	lq2RZwXuQQzmogp8AbQU3g
western europe	[2]	[1.0]	7adNaz2pv2WmGGv0igDT6Q
western europe	[10]	[0.7568960189819336]	9agO5R13juaotYHPXGYnAg
western europe	[2]	[1.0]	UEkOXNMqhJe7PLEGEXDVmQ
western europe	[11]	[0.9999973773956299]	0M6OzPYTPy44KqC90i9Uyw
western europe	[2]	[1.0]	Xzz1C6ybKhTDV6N8NJ3Y0Q
