Gold	Predictions	Probabilities	Filename
Belgium	['Luxembourg', 'Germany', 'Belgium', 'France', 'Switzerland']	[1.0, 3.05725755876252e-17, 1.0681048241749162e-18, 1.5885156848153419e-28, 2.144760615584786e-36]	I2bZIA3vJauI6rm_OV3Z7w
Belgium	['Netherlands', 'Belgium', 'New Zealand', 'Denmark', 'Germany']	[0.9841365814208984, 0.015863455832004547, 1.976534821229725e-12, 1.4774763642779773e-23, 1.5703777619334489e-25]	HQGWKHghWk-TqbrR8YTqBw
Belgium	['Belgium', 'Netherlands', 'Suriname', 'Sweden', 'Haiti']	[1.0, 4.849867729639357e-10, 8.561933617024632e-43, 0.0, 0.0]	UtWbB0m_KyNGiIaHfYPwUh
Belgium	['Belgium', 'France', 'Luxembourg', 'Netherlands', 'Germany']	[0.9999991655349731, 7.933526831038762e-07, 4.7969331603717924e-23, 1.744185734249045e-32, 1.121355464912791e-39]	b__X0WfhAboK62IHm7Eklw
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Haiti', 'Ecuador']	[1.0, 8.768631143009715e-30, 0.0, 0.0, 0.0]	ghRePsod6PQG5qEzEn32Cw
Belgium	['Belgium', 'France', 'Haiti', 'Netherlands', 'Ecuador']	[1.0, 2.2832476918015704e-39, 0.0, 0.0, 0.0]	AjjbSr9cmoXySx_dfPl7Rg
Belgium	['Belgium', 'France', 'Germany', 'Luxembourg', 'Switzerland']	[1.0, 1.4457146146461958e-13, 3.255999326042117e-24, 1.3124149704188743e-24, 6.136788471102835e-28]	8TzcYvLQOL0vGPvEr7kn8g
Belgium	['Netherlands', 'Belgium', 'Luxembourg', 'Estonia', 'Denmark']	[1.0, 2.8197573165300582e-09, 1.8689397923792668e-20, 1.2654226820124102e-35, 8.095750989159578e-37]	hdJbaZWtAXE2e0gJywMo6g
Belgium	['Belgium', 'Netherlands', 'Germany', 'Denmark', 'Suriname']	[1.0, 2.6024044791254426e-23, 1.0172025552533847e-41, 1.0103361927781931e-42, 8.407790785948902e-45]	yS7_UroZFzk__AwK3OY9G7
Belgium	['Belgium', 'Netherlands', 'Germany', 'Luxembourg', 'Denmark']	[1.0, 5.1411310709959375e-20, 2.2570394796931838e-27, 2.647394736763739e-29, 2.29534362026309e-31]	lQUfosHNXCsBi5EtWTD4NQ
Belgium	['Belgium', 'Netherlands', 'Haiti', 'Sweden', 'Ecuador']	[1.0, 3.6823042326231633e-31, 0.0, 0.0, 0.0]	1JhZyMZ1JhI3cOxHLDBORg
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Haiti', 'Ecuador']	[1.0, 8.26766093951642e-43, 0.0, 0.0, 0.0]	d3j7RDxbO8VsdHtyp37EwA
Belgium	['Belgium', 'Netherlands', 'Haiti', 'Sweden', 'Ecuador']	[1.0, 4.136698927714683e-39, 0.0, 0.0, 0.0]	AnagMcWzT9CMAgiyZP5KMg
Belgium	['Belgium', 'Suriname', 'Luxembourg', 'Netherlands', 'Haiti']	[1.0, 1.6428506502291218e-38, 3.165914384092058e-39, 3.951661669395984e-43, 0.0]	7xIxR6Po12-dg14sUqexVA
Belgium	['Slovakia', 'Latvia', 'Belgium', 'Estonia', 'Lithuania']	[0.9999997615814209, 1.8121343714483373e-07, 3.891379218856628e-09, 3.5521127353942036e-17, 2.5487579138496826e-18]	18bMrs3IcBmWIxLQ7w1Odu
Belgium	['Belgium', 'Germany', 'Netherlands', 'Luxembourg', 'France']	[1.0, 6.075872029185596e-29, 9.88685691369271e-30, 3.7791716375268494e-39, 1.20721862701583e-41]	3XcDbaWXczT1KBL7Bzo85g
Belgium	['Belgium', 'Denmark', 'Netherlands', 'Estonia', 'Latvia']	[1.0, 3.285888781947339e-28, 8.407790785948902e-45, 7.006492321624085e-45, 2.802596928649634e-45]	Y_XQ---1TcNzvu1rUlS7OA
Belgium	['Belgium', 'Netherlands', 'Luxembourg', 'Germany', 'Denmark']	[1.0, 2.3092341707036346e-19, 6.553769441598684e-20, 2.8715758899491586e-34, 5.081108231641787e-42]	XpHO9zoJa9cs1DcBFXMNfg
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Lithuania', 'Suriname']	[1.0, 4.480156223953585e-35, 1.1969246884968998e-39, 3.667198081138046e-42, 2.4242463432819335e-43]	4FVUnW9X2PPPyC5lnANZgQ
Belgium	['Belgium', 'Slovakia', 'Hungary', 'Germany', 'Austria']	[1.0, 3.583544322827842e-14, 9.166864146828001e-15, 9.416123285073603e-16, 3.447580225665622e-19]	YX0tb7pg4aXDizBG3Pgi6j
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Haiti', 'Ecuador']	[1.0, 2.8355728001156896e-30, 0.0, 0.0, 0.0]	mpnQ4Rh_rHRmXsosSGVDkw
Belgium	['Belgium', 'Germany', 'Netherlands', 'Luxembourg', 'Denmark']	[1.0, 1.7956865994150917e-09, 2.0022883091136423e-14, 3.0355956837532265e-17, 6.947345208225683e-20]	wtDrCfnh2JKDPraBG0UZqw
Belgium	['Belgium', 'Netherlands', 'Germany', 'Luxembourg', 'France']	[1.0, 2.4857155886555958e-30, 1.0906781075912484e-30, 2.619374045341267e-32, 6.580995778099378e-37]	clgcmPhf58yl9v-aabVh4b
Belgium	['Belgium', 'Luxembourg', 'France', 'Germany', 'Netherlands']	[1.0, 9.3014650423998e-21, 4.762253691129964e-25, 2.0642418070496204e-28, 3.3758625252110595e-39]	lDw5YO-MV6ifyWlYX34Fzw
Belgium	['Belgium', 'Netherlands', 'Luxembourg', 'France', 'Germany']	[0.9999617338180542, 3.8206948374863714e-05, 1.559353704987261e-29, 5.422046212517016e-34, 5.1287523794288305e-42]	EahNc2HzdOTP1vYdSU8UdB
Belgium	['Netherlands', 'Belgium', 'Suriname', 'Sweden', 'Haiti']	[1.0, 2.851756116102296e-16, 3.92187848528769e-35, 0.0, 0.0]	UzPJBzWmdwCyQInfTWUpBQ
Belgium	['Japan', 'Belgium', 'Germany', 'France', 'Luxembourg']	[0.999797523021698, 0.00020252898684702814, 3.844339568903621e-10, 4.853820253711283e-13, 3.856531413553724e-17]	lq2RZwXuQQzmogp8AbQU3g
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Haiti', 'Ecuador']	[1.0, 2.0624496542398285e-33, 3.191426423933556e-39, 0.0, 0.0]	7adNaz2pv2WmGGv0igDT6Q
Belgium	['Luxembourg', 'Belgium', 'Uruguay', 'Bulgaria', 'Spain']	[0.9903683662414551, 0.00963161326944828, 1.0152944328637673e-14, 3.339445178933249e-18, 2.8370059554963425e-18]	9agO5R13juaotYHPXGYnAg
Belgium	['Belgium', 'Netherlands', 'Haiti', 'Sweden', 'Ecuador']	[1.0, 2.5088569687656203e-36, 0.0, 0.0, 0.0]	UEkOXNMqhJe7PLEGEXDVmQ
Belgium	['Netherlands', 'Belgium', 'Suriname', 'Luxembourg', 'France']	[0.9999971389770508, 2.8683241453109076e-06, 1.2871106355359462e-16, 1.7012043495703667e-27, 4.821806357016493e-28]	0M6OzPYTPy44KqC90i9Uyw
Belgium	['Belgium', 'Netherlands', 'Haiti', 'Sweden', 'Ecuador']	[1.0, 1.3928336172356517e-31, 0.0, 0.0, 0.0]	Xzz1C6ybKhTDV6N8NJ3Y0Q
Belgium	['Belgium', 'Netherlands', 'Luxembourg', 'Ecuador', 'Haiti']	[1.0, 3.726217149583306e-26, 1.0501397953976467e-38, 0.0, 0.0]	4P-pjmWwwycyRdDN5AZowA
Belgium	['Belgium', 'Netherlands', 'France', 'Luxembourg', 'Germany']	[1.0, 6.218489807287286e-13, 5.732504286821364e-27, 2.114590359209482e-34, 1.5218101322567513e-42]	vYM3JQaYMMFlSPop4hu7wg
Belgium	['Netherlands', 'Belgium', 'Germany', 'Sweden', 'Guatemala']	[1.0, 7.575209556853757e-12, 5.184804318001823e-44, 0.0, 0.0]	x-tUfDgMiZ-jkWCxynJBgQ
Belgium	['Belgium', 'Luxembourg', 'Netherlands', 'Haiti', 'Ecuador']	[1.0, 9.296910457667606e-39, 7.945362292721713e-43, 0.0, 0.0]	VD-bvLmde24bux5WmWqAmg
Belgium	['Belgium', 'Netherlands', 'Sweden', 'Haiti', 'Ecuador']	[1.0, 0.0, 0.0, 0.0, 0.0]	wAP62WDK22DAxY5rhQcr8w
Belgium	['Netherlands', 'Belgium', 'United Arab Emirates', 'Belarus', 'Luxembourg']	[0.9999986886978149, 1.3204903552832548e-06, 2.720528482787987e-38, 1.723597111119525e-43, 2.802596928649634e-44]	7YBsRexuk6KoGit7mo2xrg
Belgium	['Belgium', 'France', 'Luxembourg', 'Netherlands', 'Ecuador']	[1.0, 3.20757253711473e-33, 3.8269461060710754e-42, 2.1019476964872256e-44, 0.0]	cxBVkMR-DJorjuxuYwxFWQ
Belgium	['Belgium', 'Netherlands', 'Sweden', 'Haiti', 'Ecuador']	[1.0, 0.0, 0.0, 0.0, 0.0]	XpndlObowjhME7jx5MYTuy
Belgium	['France', 'Belgium', 'Luxembourg', 'Germany', 'Netherlands']	[0.9786208868026733, 0.021379100158810616, 8.070512054337742e-17, 8.828180325246348e-44, 0.0]	YzgVK5YOik5fII5OzUp4qw
Belgium	['Belgium', 'Luxembourg', 'France', 'Netherlands', 'Denmark']	[1.0, 4.498035624522778e-12, 4.423871818458498e-14, 8.115385484097771e-22, 1.3961967119972545e-22]	ltePUtAQv2efAUCC4rrYaw
Belgium	['Netherlands', 'Luxembourg', 'Belgium', 'Germany', 'Denmark']	[0.9996059536933899, 0.00022266358428169042, 0.00017130660125985742, 3.098407930224312e-08, 6.352907089279825e-10]	k6tg2yFyNDQY4bCbESu3Ho
Belgium	['Belgium', 'Netherlands', 'Haiti', 'Sweden', 'Ecuador']	[0.9999951124191284, 4.899166924587917e-06, 0.0, 0.0, 0.0]	2SBch2xiwc8TB9aGOmq-_g
Belgium	['Belgium', 'Luxembourg', 'Belarus', 'Latvia', 'France']	[1.0, 1.5004983610290897e-20, 1.3878933921419707e-27, 3.0894662262774784e-30, 4.2911463594564235e-31]	kBIjOIVu5WAMayjFQK8A4w
Belgium	['Netherlands', 'Denmark', 'Germany', 'Belgium', 'Poland']	[0.9999998807907104, 6.909855443382185e-08, 4.593273317254898e-08, 1.3025118364515947e-13, 6.860681660884624e-17]	fsI6RNttAfQDCslpy0Wsbg
Belgium	['Belgium', 'Netherlands', 'Luxembourg', 'France', 'Kosovo']	[1.0, 2.5504112710628135e-11, 4.954162403164811e-21, 2.240256663599375e-31, 2.5893742332791985e-37]	vKt7yt83ALZFrH9ISda7lg
Belgium	['South Africa', 'Botswana', 'Netherlands', 'Namibia', 'Germany']	[0.454539030790329, 0.37139174342155457, 0.1686711311340332, 0.0051741101779043674, 0.00021515061962418258]	95sH_A7QvS6g_f_Kzr3ABA
Belgium	['Belgium', 'Luxembourg', 'Germany', 'Netherlands', 'Suriname']	[1.0, 8.607182674924552e-12, 2.0290730086168112e-18, 1.1631678748434439e-35, 8.266742943287248e-36]	Z71NCyJ6jGslBxi_AesolH
Belgium	['Belgium', 'Netherlands', 'Denmark', 'Luxembourg', 'Norway']	[0.9999992847442627, 6.818913220740797e-07, 2.899315692601645e-16, 6.159257698725719e-26, 4.453284583805906e-34]	5f2LeCo6kRH4A4cdtVup7g
Belgium	['France', 'Belgium', 'Luxembourg', 'Germany', 'Denmark']	[1.0, 2.9009609384816892e-12, 9.364031122776933e-18, 8.8550106996878e-32, 3.9328842699740316e-41]	JRJtgNuFjVEq0AzdCi85bw
Belgium	['Belgium', 'Luxembourg', 'Suriname', 'France', 'Netherlands']	[1.0, 1.3830320255158254e-18, 2.614901583209976e-32, 2.685027987492782e-41, 0.0]	YqB0Z26xZwe8FmDaGZ3SjD
Belgium	['Belgium', 'Netherlands', 'Luxembourg', 'Germany', 'France']	[1.0, 5.084014320644314e-10, 3.5113445219381946e-33, 2.1579996350602183e-42, 6.866362475191604e-44]	9xRIcs-0f639eVdbfB5j7w
Belgium	['Belgium', 'Netherlands', 'Germany', 'Luxembourg', 'Denmark']	[0.9996285438537598, 0.00037143463850952685, 1.5968608978298353e-36, 2.696098245360948e-42, 4.203895392974451e-45]	kYjTAFIldjf8M0xHcvdd5A
Belgium	['Netherlands', 'Belgium', 'Suriname', 'Denmark', 'Luxembourg']	[1.0, 6.835282340134086e-12, 2.7030795143102143e-39, 1.5185871457888043e-41, 1.2555634240350361e-42]	yGBqHWMUZ4Ms2uUl3tMXxA
Belgium	['Belgium', 'France', 'Luxembourg', 'Hungary', 'North Macedonia']	[0.9999998807907104, 8.334113488217554e-08, 2.2474722236192376e-16, 2.087525336465768e-33, 3.8124834682924396e-35]	TaQ8FvvTFkrtdiR6MKPF_A
Belgium	['Belgium', 'Luxembourg', 'Democratic Republic of the Congo', 'France', 'Sweden']	[1.0, 3.7059913254129955e-32, 2.7484129209295864e-39, 6.726232628759122e-43, 0.0]	Wn52njQUEoabuCj1-zMX-A
Belgium	['Netherlands', 'Belgium', 'Denmark', 'Haiti', 'Ecuador']	[1.0, 1.3046107636459522e-20, 7.509796130536244e-38, 0.0, 0.0]	1MG3IDNlD3tRJLT1ObM68w
Belgium	['Germany', 'Luxembourg', 'France', 'Belgium', 'Hungary']	[0.9996540546417236, 0.00032436512992717326, 2.1472034859471023e-05, 8.245233118486794e-08, 4.319121371453927e-15]	bcPGij-EowEm-NArm5Wwpw
Belgium	['Belgium', 'Luxembourg', 'Germany', 'Netherlands', 'Denmark']	[1.0, 2.28081402200216e-21, 9.942456990836755e-37, 5.783477137279615e-37, 3.0450215629778275e-42]	4SnF_PJ-VxdoJ_OC6eSUoQ
Belgium	['Netherlands', 'Belgium', 'Uruguay', 'Israel', 'Suriname']	[1.0, 4.672208106515363e-11, 5.644705056986296e-20, 3.598347998398574e-24, 8.472546347574491e-34]	4YJmfDi3wSpJ8vmzXtUrKw
