Gold	Predictions	Probabilities	Filename
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 3.269229317269798e-42, 0.0, 0.0, 0.0]	TW8dlSXEQ-wlWErqEv8gXA
Belgium	['Belgium', 'Netherlands', 'Australia', 'Finland', 'South Africa']	[1.0, 1.727165797918621e-38, 0.0, 0.0, 0.0]	WGt_Q1SAQ3YRRCisVx6x_w
Belgium	['Belgium', 'Netherlands', 'Canada', 'Suriname', 'Latvia']	[0.9999974966049194, 2.527428478060756e-06, 1.514403938352154e-14, 6.814825704215859e-20, 9.302576566347918e-21]	iACg9mHoCD9bdLRaE-V3Zw
Belgium	['Belgium', 'Netherlands', 'France', 'Finland', 'Australia']	[1.0, 2.293727208014972e-21, 4.0464688560248555e-33, 0.0, 0.0]	3oSe1HxOretDIji4VHYXag
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	-OcSbKlMDMw1wpBJ-38PiA
Belgium	['United Kingdom', 'Belgium', 'Brunei', 'France', 'North Macedonia']	[0.9999992847442627, 6.567899504261732e-07, 8.392120191860968e-20, 3.463418957250165e-21, 5.781951587196337e-22]	UVQZdIZ7NfRNJHoglYc5_A
Belgium	['Belgium', 'Germany', 'Denmark', 'Finland', 'Australia']	[1.0, 6.914149555422009e-39, 1.3046088702864047e-42, 0.0, 0.0]	2DblItoEgDu9LoomfLxPNA
Belgium	['Belgium', 'Netherlands', 'Suriname', 'Germany', 'France']	[0.9936251640319824, 0.006374774966388941, 9.485456054353633e-34, 4.94017964508464e-39, 1.401298464324817e-45]	2LJyE8knOQinhZnxD-ne7w
Belgium	['Belgium', 'Netherlands', 'France', 'Latvia', 'Lithuania']	[0.9999505281448364, 4.94821579195559e-05, 2.9157715502836366e-35, 1.8061574127421502e-38, 9.230863057148584e-39]	eGAhdfb0vtgHF4aJO52Yqg
Belgium	['Belgium', 'Sweden', 'Australia', 'Finland', 'China']	[1.0, 0.0, 0.0, 0.0, 0.0]	_sFW5HIOSXvSW3vTTNzO4g
